,class,tweet,label
16699,1,RT @Noworriezzzz: Two hoes arguing bout who fucking who for x amount of money lol what,offensive_language
7945,2,"Be fearful of the wrath of God in a country where many mock Christianity, embrace perversion, abortion, and bows to PC/multiculturalism.",neither
6870,1,@rachh_burkhart grow a pair pussy,offensive_language
18212,1,"RT @_AD4: Why all ghetto chicks gotta smell like love-spell. Or that cucumber shit, bath &amp; body works!",offensive_language
1689,1,&#8220;@aerinblazin: I'm 2 much for these niggas and 3 much for these hoes &#128129;&#8221;,offensive_language
20472,1,Really bitch?,offensive_language
6513,0,"@kmdk83 @BeautifulMined
I hopes dis ain't cause he colored cause I knows he be actin all nigga like",hate_speech
18108,1,"RT @YaBoyKip: ""I hope this bitch ain't a catfish"" http://t.co/56JKqioEPE",offensive_language
22897,1,Wifey had the hoes back then &#128514;&#128514;,offensive_language
18779,1,RT @craigslistlove: some women just weren't blessed with a cotton candy pussy,offensive_language
21908,1,This bitch Gmfu.,offensive_language
7408,1,"A boyfriend who tells hoes and sluts, ""I have a girlfriend"", is a real ass dude.",offensive_language
5417,1,"@_tee13 @SoftestMuffin @TorahBlaze After you spread that filth of urs to that white dog, he &amp; the good ol boys were ltao on fuckin a monkey",offensive_language
6164,2,@intheKCmix The last planet of the apes with my kids... It's been a minute,neither
895,1,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Lingerie | Bitch in lingerie getting her wet cunt pounded http://t.co/Jp4r2vPyCb",offensive_language
10140,1,I could NEVER bring myself to fw a bitch or nigga that wears EVERYBODY else shit like um no YOUR BROKE &amp; bummy ya fuccing boof &#128514;&#128557;&#9995;&#128553;,offensive_language
15331,1,RT @Giselle_Horan13: @1D_NIPPLES_ you slay that bitch,offensive_language
17419,1,"RT @SteveStfler: White girls, if your black boyfriend doesn't call you 'shawty', then bitch you ain't that special.",offensive_language
12341,1,"Let me tell yall....I had a glass of something sweet....this bitch brought me a full glass, im thinking its the same thing and start gulping",offensive_language
22556,1,What a Dirty Girl! Haha &#58381;&#57423;&#58380;&#57607; #cat #pussy #pets http://t.co/7YaYdatE,offensive_language
14979,1,RT @DinO_off_AD: Them hoes come them hoes go it's a revolving cycle &#128080;,offensive_language
9587,2,"HOT #ISIS SOCIAL MEDIA PHOTO: Laughing Jihadis Get Baby To Kick Severed Head &#8211; ***warning, graphic*** http://t.co/XdpSzwj6sK #lnyhbt #tgdn",neither
12150,1,Just straight ignorant bitches #WhereTheyHeadsAt,offensive_language
8029,1,Bitch bitch bitch,offensive_language
1714,1,&#8220;@chloekosik: I DONT FUCK YOUUU u lil stupid ass bitch I AINT FUCKIN WIT YOU u lil dumbass bitch I AINT FUCKIN WIT YOU&#8221; @kaylamauser_,offensive_language
7689,1,"Amanda Bynes is crazy, idc what else y'all wanna call it but da bitch been crazy.",offensive_language
19385,2,RT @kaseymizell: we may or may not be trash at taking pictures together http://t.co/bPJWl1aO2E,neither
24293,1,one big lecture hall full of bitches in sequins limited too tank tops,offensive_language
19029,2,"RT @godsgracelove: #15ThingsILove When he wraps his arms around my waist while I'm making dinner, yellow roses, pearls, Anything COACH a ...",neither
15835,1,RT @JonahAir23: money over the best pussy,offensive_language
8394,1,Chances make champions nicca ain't nothing stopping you!,offensive_language
5483,1,@alexisxisabel death to attention hoes,offensive_language
4289,1,@NotoriousBM95 @MANIAC3X fucking creepy ass nigguh lmao,offensive_language
1605,1,&#8220;@Whoscherry: Ever met a bitch that fucked with your nigga but was to pussy to admit it ?&#8221; A bitch for a bitch.,offensive_language
20306,1,RT @wizkhalifa: Woke up sleazy. Im bout to make this day my bitch,offensive_language
16077,1,RT @L1LDebbie: And I'm that bitch who doesn't forget.,offensive_language
10812,1,I really am always there for my bitches and they know that &#128175;.,offensive_language
13215,2,"Never seen a tinted yellow tongue before. 

She just ate a lemon jolly rancher?",neither
4491,1,@RealNoth no wonder your career is in the dump that's where trash like you belongs. Thanks to @greggutfeld for pointing out your true colors,offensive_language
1207,2,"&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;

Nah.. His weapons just trash",neither
19728,2,RT @nikaaaa3: @Patt_Hoff you're secretly a Yankee fan! You'll admit it some day !,neither
12753,1,Marilyn Monroe set the standard for what hoes can achieve in society,offensive_language
12793,1,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,offensive_language
13703,2,"Oreo Ice Cream Sandwich http://t.co/RM0KsY99Bc""",neither
12384,1,Life's a bitch &amp; then you die,offensive_language
20431,1,"RT, If You Agree!
#NorthKorea says #barackobama looks like;
""A monkey, who belongs in an African zoo"" 
ROFL! http://t.co/tooV1uty6h",offensive_language
6022,1,@goldielocks512 Bitch pussy,offensive_language
14533,1,"RT @CHlLDHOODRUINER: ""bitch ass nigga square up"" &#128514;&#128514; http://t.co/xK1rpf1NPy",offensive_language
16337,1,RT @MahoghanyXO: The world wouldn&#8217;t be as fun if hoes didn&#8217;t exist.,offensive_language
11927,2,It's gonna be a long season for the Yankees if this simulation is right #BlueJays #Rays #Yankees #Orioles&#8230; http://t.co/Zc3k9NDB1T,neither
16553,2,"RT @MySportsLegion: Nick Young says that close to $100,000 worth of money, watches sneakers and clothes were stolen from his house last nig&#8230;",neither
3998,1,@MacMiller lucky as bitch ft. Juicy J,offensive_language
11865,1,It aint nuttin to cut that bitch off......thats why that shit my ring tone &#9995;,offensive_language
5926,2,@erinscafe Bu I do. I do hate the playa. And the Yankees. If I hate the Yankees for their payroll I have to hate the Dodgers.,neither
10230,1,I don't want a bitch that a nigga already had I want sumn new ... Or a runner it's too easy nigga I accept the challenge,offensive_language
7940,2,Bathing Sphere: Suspended Orb Tub Not for Shy People http://t.co/OHv7xbr6wo #bathing #design #weird and yet #cool,neither
8362,1,"Cancer is a hoe y'all pray for the people who have it. http://t.co/4XgEQMrZq5""",offensive_language
9150,1,"Forget ""resting bitch face,"" the next hot new trend will be ""resting drunk face.""",offensive_language
3728,1,@JustKarahn negro please,offensive_language
24201,1,my eye don got lazy reading and looking at u bitches flawged and lie all day&#128564;&#128564; http://t.co/NI2OQv0Njd,offensive_language
19966,1,"RT @seansteiger31: I don't gang bang ho, I jus gang bang these hoes &#128299;",offensive_language
5671,2,@cakedjake We're laying rock around our lake. You're welcome to join a redneck workout. #muscles &#128170;&#128513;,neither
1894,1,&#8220;@skinnysowhat: @PAPER_CHAYSIN aye and when the hoes start coming don't forget who put you on &#128524;&#8221; I won't !!! &#128513;&#128513;&#128513;,offensive_language
10232,1,I don't want me no good girl I fell inlove with these freak hoes,offensive_language
16558,1,"RT @Mymangot2JOBS_: When a bitch comment on my nigga pic like ""u so fine&#128571;&#128571;"" I @ em thirst buckets back and be like ""thanks&#128573;""",offensive_language
6740,1,@natashaleggero how dare insult that pearl harbor vet. You are a dumb cunt.,offensive_language
19417,1,"RT @killaaakam_: Who's gassin these hoes, BP? &#128564;",offensive_language
15241,1,RT @FuckBoiRik: Ok seriously fuck the people who slam on their breaks when the light turns yellow. FLOOR THAT SHIT BITCH,offensive_language
6641,1,@mchastain81 @TheWorldStories you fucked that bitch!,offensive_language
15143,2,RT @FallonTonight: Jimmy and @BillyJoel's two-man doo-wop performance just went live on YouTube! https://t.co/NGzhImyvSF #FallonTonight htt&#8230;,neither
8280,1,Calling it am early night heartache is a bitch #broken,offensive_language
22303,1,"U can't stay the same &amp; expect change. U can't truly expect a good man if he call himself nigga, nigger.It means the same; A No Good Person!",offensive_language
12644,1,Looks like the next douche bag #teabagger to be crowned governor is some ghoul named Ducey (rhymes with douchy) #azgov #azvotes #Tcot #gop,offensive_language
9439,1,"Go cry about it joey.
Just like the little bitch you are",offensive_language
20834,1,Single colored man looking fo a single white woman. Fat OK. I'm nigga,offensive_language
10764,2,I need a cowboy killer and a cold one about now. @mr_dtb probably too tired tho to get down.&#128541;,neither
18438,1,RT @_indylovee: these bitch niggas couldn't live my cold life$tyle&#128184;&#128080;&#128523;,offensive_language
6967,1,@savannacurry_ just be like me make bitches move,offensive_language
4757,1,@SteveStockmanTX didnt you propose the brilliant idea of college students packing heat? You are a savant! #dumbass teabaggers,offensive_language
6545,0,@leiacatherinexx don&#8217;t be a hurt little faggot,hate_speech
6330,1,@karlamorenoo my niggah my niggah lol,offensive_language
22238,1,Trust a bitch I can't wife a bitch I can't,offensive_language
17325,1,"RT @Smooth_Orator: For niggas who claim to love pussy as much as y'all do, y'all should be champions for sexual liberation and stigma remov&#8230;",offensive_language
5721,2,"@chris2x @NevadaPR Camels, ostriches and zebras! See you at the races! #VCCamelRaces",neither
2928,1,@DP4_6 bitch yu not safe! http://t.co/hInvxbUp31,offensive_language
22198,2,Tommy trash,neither
1846,1,"&#8220;@matt_chu22: @wagggggie @RyanRiehle &#128514; I'm not close to being your dude, master chan&#8221; that's right bitch, bow down to your master &#128591;",offensive_language
12053,2,Jihadis seem to be more upset over the location of the Jedah conference in #Saudi than its purpose #ISIS,neither
426,1,"""Bleed out hoe!!!"" -Alexa",offensive_language
8103,1,Blow up the pussy like Hussein. Bitch look at me crazy like who's sane? @RavenxMiyagi,offensive_language
5891,2,@ebomb26 cool beaners. i just got home. ready to keep my couch from floating away. lol,neither
19334,2,RT @jfkirtley: Reds haven't lost a series at Yankee Stadium since 1961 World Series #76 #08 #12,neither
15292,1,RT @GMB_flash7414: Oso told me when his dreads get longer he just gone pop up and fuck niggas bitches lmao,offensive_language
13820,1,"Pic so confusing.. Looks like a dyke, but has a hoe pooci.. &#171;@Datjollygirl &#8220;@BTweekin: &#128553;&#128553;&#128553;&#128553;&#128553; http://t.co/88ThE7EZP7&#8221;&#187;",offensive_language
7286,1,@wodaeeex3 @keonamoore nun of ya bidness bitch,offensive_language
4554,1,@RodMarley44 fr 12 was Finna bam a nicca he said yu lucky I jus got a robbery call,offensive_language
17686,1,RT @TheRealHoneyMoe: I don't care about bitches. Hoes be into it with they damn self&#128553;&#128175;,offensive_language
17863,1,RT @Twothumbsupdgaf: stay shutting these hoes down..,offensive_language
19691,2,"RT @mpoindc: Wow, Henry Waxman gets caught in a CLASSIC Charlie LeDuff segment after Charlie comes to DC for today's GM hearing: http://t.c&#8230;",neither
6906,1,@reptar_ray nigglet send me the pictures,offensive_language
14158,1,RT @AnAbsurdBird: I just realised my library books are overdue if anyone's looking for a bad bitch,offensive_language
12641,2,Looks as if Federal Gun Laws to be proposed this week lack #AWB. Hope the #media and #antigun crowd choke on crow.,neither
16354,1,RT @MarcusButlerTv: When someone's phone goes off in the cinema I want to jump across the seats and fly kick dat bitch.,offensive_language
5741,2,@cnnbrk let me guess they have yellow cake too? Same crap different president,neither
24271,2,now time to find the monkey term scripts!,neither
4979,1,"@ThequeenSOxILL I'd rather ask yours, is she a nappy headed hoe too? And is your grandma as well? I'd be ashamed to be in your family.",offensive_language
8121,2,Boston's Jihadi Nest and Student Arm of the Muslim Brotherhood &#187; Joe For America http://t.co/4IfJwoeSDR via @RealJTP,neither
22396,2,"View from the ghetto ain't bad, Rio http://t.co/umjPU8gT",neither
10291,1,I follow sum bush ass bitches on here &#128565;,offensive_language
8076,1,Bitches so stupid!!! Yal can't know how I'm bouta start popping bitches,offensive_language
6431,1,@kieffer_jason bitch u describe both of those terms,offensive_language
8448,1,Chiefs fans are the only ones that claim my takes are wrong about Dogshit trash Quarterback Alex Smith.,offensive_language
11724,1,Im not tongue kissing these bitches tho,offensive_language
3762,1,"@KayciMalynn yo bitch, I miss you too.",offensive_language
10941,1,I think I killed a chipmunk but that son of a bitch was fast. I need to check my tires.,offensive_language
20426,2,RT what got me into baseball! :Well only a couple more days till all these legends will be retired #CORE4 #Yankees http://t.co/bL2V1v2n9T&#8221;,neither
2800,1,@CeeRoss shoulda told her yeah if I can take you home for pussy lol,offensive_language
21379,1,"That makes you an annoying bitch. If you're out looking to be offended, you can't bitch when you're offended.",offensive_language
1920,1,&#8220;@thatsoVICTORZZZ: @Blaxxxican for the light weights&#8221; *pussies,offensive_language
22357,1,Uncle Tom ass muhfuckas.,offensive_language
19617,1,RT @mavkus__: @Victooreeuhhh nun fucking bitches getting money,offensive_language
15470,1,"RT @Hinojosa214: Bitch fucking fuck Brandeis. Go O' Connor. Fuck O' Connor. Fuck Brandeis. Just kidding, h-town helotes flexes, bitch. &#128514;&#128514;&#128514; &#8230;",offensive_language
6957,0,@sarahVICwood im going to murder that fucking cunt,hate_speech
13406,2,Nope! It's just yellow OTL,neither
14359,1,RT @BigNorton: I tweet like a nigger,offensive_language
23626,1,bitches aint shit but hoes an tricks,offensive_language
103,1,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",offensive_language
17544,1,RT @TattedUp_Tre: &#8220;@Blaxxxican: Early bird gets the dick&#127770;&#8221; &#128514;&#128514;&#128514;,offensive_language
7563,1,All I've asked is for one thing. &amp; one thing only . But I get more then what most bitches could ever have... But still.,offensive_language
3443,0,@IDisDummies Can you speak one coherent sentence without sounding like a nig? Seriously.,hate_speech
167,1,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",offensive_language
3843,1,"@KoolQueef 
Inch that bitch out and flick it wit my tongue like a damn pinada",offensive_language
2754,1,"@Cam_Coles You don't know what I know. Name somebody colder, you monkey faced immigrant",offensive_language
22144,2,Thou shall not mock Ryan(the future)Kelly,neither
21782,1,These hoes say I'm too much. I think I'm too much,offensive_language
11163,1,I'll quit being a bitch when you quit being a fake friend. &#128077;&#9996;&#65039;,offensive_language
12061,1,Joe young gone shoot that bitch,offensive_language
13082,1,"My nig been talking bout what he gonna be for Halloween since July, to excited!",offensive_language
423,1,"""Baby I like being on your left side"" no bitch you can't be there Cuz the street on that side and Twitter said I ain't real if you do",offensive_language
20686,1,"She actin like a hoe i dont want her, id rather just smoke my marijuana",offensive_language
21749,1,These hoes aint yours,offensive_language
9312,1,Fucking douche bro. You're a fag,offensive_language
363,1,"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend.",offensive_language
22943,2,Woot! RT @Yankees: #Yankees completed their sixth series sweep of the season and fourth at home.,neither
21997,1,This chick looks like she straight up took a colored pencil to her eyebrows #thatshitdoesntlookgood,offensive_language
22476,1,We ain't gon talk bout yo partnas cuz dey ain't shit like my niccas,offensive_language
24689,1,wow! RT @Tendilkar: RT @LyricalSunset: RT @LilMissCuntCake: Some bitches just deserve to get punched. In the vagina.,offensive_language
13651,1,Only fat bitches and flat booty hoes today wackkkkk,offensive_language
13382,1,No summer school? &#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515;&#128515; eat a dick school. Im done with your bitch ass !!!!!!,offensive_language
552,1,"""She's from Florida so you've got to do the sniff test in those swamp pussies"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",offensive_language
17774,1,RT @TomBradysEgo: Sorry bitches it takes more than Luck to beat me.,offensive_language
931,2,"&#127813;&#127813;&#127813; RT @GottliebShow: ""Killer line?"" @SBNationNBA: Josh Smith dropped a killer trash talk line on Kenneth http://t.co/C8d3sJoUpj&#8221;",neither
21509,0,The blacks in #California are typical niggers.,hate_speech
1148,1,&#8220;@BookerTweet_: There's starving children in Africa but this bitch using bananas to plug her butt hole smh http://t.co/DjPgA7QAy5&#8221; wtf?&#128514;&#128514;,offensive_language
23747,1,donkey son of a bitch mother fucker,offensive_language
9329,1,Fuhk you you hoe I don't want you back classic joint http://t.co/RSTFFagdwY,offensive_language
4319,1,@O_beKnowing the bitch that took my phone,offensive_language
11778,1,In da club makin movies. I feel like tyler perry. Fuckin niggas bitches.dey like why did.i gt married.,offensive_language
8357,1,Can't wait to put this down payment on my bitch,offensive_language
21282,1,"Tell them hoes ""I'm all friended out""",offensive_language
15647,2,RT @ItsFoodPorn: Oreo Cheesecake Bars http://t.co/RlHHIM98FL,neither
3026,1,@DimelouXaOh keeping these hoes happy,offensive_language
11194,1,I'm a light skin niggah &#128588;,offensive_language
15026,2,RT @DreCordero: Always interesting to see people who trash La Liga react to products of La Liga on Premier League clubs.,neither
5353,0,@_TurnDownDre @kushdaddycorr lmao you stupid nigger,hate_speech
19997,2,"RT @skullmandible: Now Call Down Your Dark and Your Cold and Be Damned, Charlie Brown",neither
1040,1,&#128557;&#128557; RT @KingHorseDick: Welp RT @ThePlasticPope The prettier bitch usually loses lol this Is science,offensive_language
1393,1,&#8220;@MJ2307: @1Bcarter or he's eating it cuz he's with a women who just can't cook &#128586;&#8221;then u gotta get rid of that hoe,offensive_language
3846,2,"@Krbfarms @Cornfrmr Homemade Angel Food, yellow cake with half-inch chocolate frosting, Devil's Food to die for, Pecan Pie",neither
8455,1,Chillin with my main hoe Becky http://t.co/hLKO2LnsuX,offensive_language
12111,1,Just got shit on by a bird #blessed,offensive_language
21532,1,"The funny thing is the daughter never got kicked out on her one night stand, I didn't have the courage to tell her, her mom an official hoe",offensive_language
9575,1,Guess who's a little bitch? http://t.co/Hl6SwLYGfV,offensive_language
9833,1,Hoes always saying niggas hoes but they be the hoes &#128175;,offensive_language
16352,2,RT @MarcACaputo: BREAKING: Charlie Crist files emergency motion for a mulligan.,neither
4816,2,@THYGOAT @ItsVinnyDoe_ those crackers will leave you parched asf,neither
24541,1,"this bitch sounds like she's gettin raped by other.cats lmfaoo the.fuckkkk closing the window, whore cats",offensive_language
21358,1,That boy has always been a pussy never been a threat!,offensive_language
13999,1,"RT @33mLENY: bae: lemme see your phone if you dont have hella hoes 

me: one sec http://t.co/MztLPgx4ur",offensive_language
20709,2,"She has zebra tights in her take home bag, me and my mom are just &#128525;",neither
13438,1,"Not trash, just plain as fuck for $225. And come on, no elephant print on a 3?",offensive_language
22901,1,Will you sell that pussy for me ?,offensive_language
20793,1,Shreks on bitches,offensive_language
14617,1,"RT @ChaBoyLilBill: Lightup Sketchers,

Definition: kick your feet together and watch the bitches flock.

Sentence: blinding bitches when yo&#8230;",offensive_language
11618,1,If you fuckin for your rent you a lame hoe,offensive_language
23648,1,bitches talk... hoes talk even more!!!,offensive_language
5958,1,"@firemunky Google's a bitch: ""Your search - Ann B. Davis Sexy- did not match any image results.""",offensive_language
14803,1,RT @CumminsSamantha: LOL @ you for being a dumb bitch.,offensive_language
24682,1,women hate hoes becuz they fuckin up the economy,offensive_language
18220,1,RT @_BeautifulKeezy: &#8220;@100046729: &#8220;@_BeautifulKeezy: where tf lyssa toilet mouth ass ? &#128064;&#128530;&#8221; wassup&#8221;you be twatching hoe &#128514;&#128514;,offensive_language
12195,1,"Keep doing your thing kid, people why soon realize your a lying faggot",offensive_language
11915,1,It's beanie weather bitches &#127744; http://t.co/uy012Hkz9Q,offensive_language
4824,1,@TRob_waddUP @Jordan__Grimes @_TurnDownDre @kushdaddycorr lmao pussy,offensive_language
23604,0,"bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em",hate_speech
1225,1,"&#8220;@DrMalvo: @woods_lamar 

http://t.co/ChNxcPLZWR&#8221;

Hidey hidey hoe! White folk be all noyvous round coloreds",offensive_language
17014,1,"RT @RappersSaid: When Tyler the Creator said ""Rape a pregnant bitch and tell my friends I had a threesome"" http://t.co/mBrtvpUaKt",offensive_language
13782,0,People who live in #theNetherlands are unwashed trash.,hate_speech
7262,1,@wednesdaydreams I wanted to see that but I like trash sometimes lol,offensive_language
15101,2,RT @ErikaWCVB: @marthacoakley called Charlie Baker to concede around 8:15 this morning. She plans to address supporters at 11am. #wcvb,neither
2087,1,"' O M G you like stop controllin me , I'm like bitch fuck you thought ? She like niggah fuck you mean !",offensive_language
13154,1,NEWS FLASH: Obama won the election and increase their numbers in congress. Stop with the bullshit already and compromise bitches!,offensive_language
17570,1,RT @TerryisBetter: if I fav your pic that means Dm me hoe,offensive_language
23440,0,You're just another nigguh.,hate_speech
21545,1,"The intensity of my Bankhead bounce as I said ""we know these bitches cuz we be traveling""...",offensive_language
10008,1,I am hungrier den a bitch,offensive_language
23945,2,i dont think women should wear flesh tone colored pants... lol,neither
8478,1,Clowney is a bitch nigga get his ass off my team,offensive_language
22245,0,Truth RT @Adolfhibsta: Only a faggot would turn down hairy pussy,hate_speech
15628,2,"RT @InNewZealand: The Knicks are still trash, Melo signed for the money he don't even care about being on a good winning team.",neither
24645,1,when the dude shoots his jiz in the bitches eye in silence of the lambs,offensive_language
13666,0,Only retards retweet fuckry,hate_speech
3786,2,@KenSuttling Certainlt not the paddies,neither
11355,0,I'm seeing more &amp; more niggers migrating further up liberty rd... smh,hate_speech
21672,1,There's like one of my ex's that's still kinda cute. Most them bitches got fat.,offensive_language
5218,1,@YoungRecklesss_ the fuck das wat bitches wit uh fuckd up mouf do &#128514;&#128514;,offensive_language
1137,1,&#8220;@BetterAreTulips: girls are fucking retarded my back started cramping up man&#8221; it's the double d's,offensive_language
13748,1,Passing up on mad hoes just to give him what he want,offensive_language
5933,1,"@esn_Josh @esn_Waves @ESN_Creeper @GT_Parthenon bitch please, are you trying to say I was closer to Philly than you",offensive_language
3072,1,"@Druggzz_ Its gonna bring it down though unless its turning into a welt already, like a bubble wit pussy. Gotta pop it an it'll be gone",offensive_language
1944,2,&#8220;@wassssupsarah: Car hopping is a different world these ghetto guys tried asking for my number LOL&#8221; did they have to be ghetto Tho ?,neither
7153,2,@therealduxy @TKFan01 *too pretty...not *to pretty. Jeezus...my redneck education is showing.,neither
24700,1,ya girl pussy is trash as fuck.,offensive_language
8646,1,Dats y I don't argue wit Dese bitches lol,offensive_language
1618,2,&#8220;@Yummy: Oreo ice cream cake &#128588; http://t.co/dvabPmgQjo&#8221; &#128525;,neither
18466,1,RT @_shorrtstop: If you still put your pride in front of your feelings .. Then yes bitch your still childish,offensive_language
13889,1,Pretty muthafucka pull up in this bitch like,offensive_language
8692,1,"Destiny's Child song ""Say My Name"" is the insecure bitches anthem.",offensive_language
